order_id,order_date,region,city,channel,customer,product,amount,qty
SO-2026-0001,2026-06-04,华南,广州,线上,客户北方快消,Mac mini M2,2249,1
SO-2026-0002,2026-08-09,华南,厦门,门店,客户东方集团,iPhone 15,1603,1
SO-2026-0003,2026-08-04,华东,杭州,线上,客户极速达,MacBook Air 13,1272,4
SO-2026-0004,2026-06-01,华南,深圳,门店,客户城市优选,iPad Pro 11,2013,2
SO-2026-0005,2026-06-14,华东,南京,线上,客户城市优选,iPad Pro 11,1388,5
SO-2026-0006,2026-07-29,华北,北京,线上,客户华南百货,Mac mini M2,1386,5
SO-2026-0007,2026-06-25,华北,青岛,经销商,客户华东商贸,iPad Pro 11,1045,1
SO-2026-0008,2026-07-19,华东,上海,经销商,客户城市优选,MacBook Air 13,2463,3
SO-2026-0009,2026-08-25,华北,北京,经销商,客户南方电子,Apple Watch S9,2717,2
SO-2026-0010,2026-07-02,华南,厦门,门店,客户华南百货,Mac mini M2,1772,5
SO-2026-0011,2026-06-08,华东,南京,线上,客户城市优选,AirPods Pro 2,2440,3
SO-2026-0012,2026-08-12,华东,杭州,经销商,客户优选商城,AirPods Pro 2,2816,4
SO-2026-0013,2026-06-18,华东,南京,经销商,客户华南百货,Mac mini M2,2361,5
SO-2026-0014,2026-07-22,华北,青岛,线上,客户优选商城,iPhone 15,2823,1
SO-2026-0015,2026-08-20,华东,杭州,经销商,客户极速达,Apple Watch S9,2110,1
SO-2026-0016,2026-08-16,华北,天津,门店,客户东方集团,Mac mini M2,5140,1
SO-2026-0017,2026-07-05,华南,厦门,门店,客户极速达,MacBook Air 13,2713,4
SO-2026-0018,2026-08-04,华东,南京,线上,客户华南百货,Mac mini M2,1818,5
SO-2026-0019,2026-06-20,华南,广州,线上,客户东方集团,Apple Watch S9,3379,3
SO-2026-0020,2026-06-15,华北,北京,门店,客户华东商贸,iPhone 15,3498,2
SO-2026-0021,2026-06-11,华南,广州,线上,客户北方快消,MacBook Air 13,5434,4
SO-2026-0022,2026-07-04,华南,广州,经销商,客户华东商贸,Mac mini M2,3515,3
SO-2026-0023,2026-08-23,华北,青岛,经销商,客户优选商城,iPhone 15,3047,2
SO-2026-0024,2026-07-14,华东,上海,经销商,客户华东商贸,Apple Watch S9,1300,2
SO-2026-0025,2026-08-30,华东,上海,线上,客户东方集团,iPad Pro 11,932,1
SO-2026-0026,2026-07-06,华南,广州,经销商,客户北方快消,Mac mini M2,4818,5
SO-2026-0027,2026-07-02,华南,深圳,门店,客户华东商贸,iPhone 15,5425,1
SO-2026-0028,2026-07-16,华南,深圳,门店,客户东方集团,Mac mini M2,3719,1
SO-2026-0029,2026-07-14,华东,苏州,线上,客户华东商贸,Apple Watch S9,1253,4
SO-2026-0030,2026-06-24,华东,苏州,线上,客户南方电子,AirPods Pro 2,2472,5
SO-2026-0031,2026-08-23,华东,上海,线上,客户北方快消,AirPods Pro 2,793,4
SO-2026-0032,2026-07-22,华北,北京,门店,客户东方集团,AirPods Pro 2,866,3
