order_id,order_date,region,city,channel,customer,product,amount,qty
SO-20260901-001,2026-09-01,华东,上海,线上,杭州云栖商贸,MacBook Air M2,7299,1
SO-20260901-002,2026-09-01,华东,杭州,门店,滨江科技,Mac mini M2,4499,1
SO-20260901-003,2026-09-01,华北,北京,线上,中关村数码,iPhone 15 Pro,8999,1
SO-20260901-004,2026-09-02,华东,上海,门店,陆家嘴智能,AirPods Pro 2,1899,2
SO-20260901-005,2026-09-02,华南,广州,线上,天河北通信,iPhone 15,5999,1
SO-20260901-006,2026-09-02,华南,深圳,门店,华强北电子,MacBook Pro M3,12999,1
SO-20260902-007,2026-09-02,华东,南京,线上,新街口百货,Apple Watch S9,2999,1
SO-20260902-008,2026-09-03,华北,北京,分销,王府井零售集团,Mac mini M2,4499,3
SO-20260902-009,2026-09-03,华东,上海,门店,浦东软件园,iPad Pro 11,7999,1
SO-20260903-010,2026-09-03,华南,广州,分销,琶洲会展商贸,AirPods Pro 2,1899,4
SO-20260903-011,2026-09-03,华东,杭州,线上,未来科技城,iPhone 15,5999,2
SO-20260903-012,2026-09-04,华东,苏州,门店,金鸡湖数码,MacBook Air M2,7299,1
SO-20260904-013,2026-09-04,华北,北京,线上,望京智能家居,Apple Watch S9,2999,2
SO-20260904-014,2026-09-04,华南,深圳,分销,南山科技园,iPad Air,4799,2
SO-20260904-015,2026-09-05,华东,上海,线上,杨浦创客空间,MacBook Pro M3,12999,1
SO-20260905-016,2026-09-05,华北,天津,门店,和平区通信行,AirPods 4,999,1
SO-20260905-017,2026-09-05,西南,成都,线上,春熙路数码,iPhone 15,5999,1
SO-20260906-018,2026-09-06,华东,杭州,门店,西湖银泰,iPhone 15 Pro,8999,2
SO-20260906-019,2026-09-06,华南,广州,线上,腾云电商,Mac mini M2,4499,1
SO-20260906-020,2026-09-07,华中,武汉,线上,光谷软件园,MacBook Air M2,7299,1
SO-20260907-021,2026-09-07,华东,上海,分销,张江信息科技,AirPods Pro 2,1899,3
SO-20260907-022,2026-09-07,华北,北京,门店,朝阳大悦城,iPhone 15,5999,1
SO-20260907-023,2026-09-08,华南,深圳,线上,前海金融科技,Apple Watch S9,2999,1
SO-20260908-024,2026-09-08,华东,宁波,门店,天一广场,iPad Pro 11,7999,1
SO-20260908-025,2026-09-08,华北,石家庄,线上,万象城购物中心,MacBook Air M2,7299,2
SO-20260908-026,2026-09-09,华中,长沙,门店,五一广场数码,iPhone 15,5999,1
SO-20260909-027,2026-09-09,华东,上海,线上,张江高科园区,Mac mini M2,4499,1
SO-20260909-028,2026-09-09,华南,广州,门店,正佳广场,AirPods 4,999,2
SO-20260909-029,2026-09-10,华东,杭州,分销,萧山机场商业,MacBook Pro M3,12999,2
SO-20260910-030,2026-09-10,华北,北京,线上,上地产业园,MacBook Air M2,7299,1
